activity	time	p	p_peak	p_smooth
Playing football	1505	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1505	2.47E-05	0.061639106	0.062890352
Softball	1505	0	0	0
Playing soccer	1505	0	0	0
Doing aerobics	1505	0	0	0
Hunting	1505	4.24E-05	0.038997475	0.036297818
Participating in martial arts	1505	0	0	0
Bowling	1505	6.22E-05	0.050465356	0.061216472
Rollerblading	1505	3.88E-06	0.012169769	0.012169769
Golfing	1505	1.68E-05	0.007148072	0.007148072
Playing volleyball	1505	1.17E-05	0.024574726	0.024574726
Boating	1505	2.02E-05	0.029966049	0.029966049
Playing baseball	1505	0	0	0
Running	1510	7.55E-05	0.051506508	0.049011879
Playing racquet sports	1510	0	0	0
Weightlifting/strength training	1510	1.85E-05	0.011533989	0.008468835
Hiking	1510	0	0	0
Biking	1510	2.71E-06	0.003269747	0.003269747
Walking	1510	6.07E-05	0.013136966	0.013075122
Using cardiovascular equipment	1510	3.28E-05	0.024619742	0.028590363
Participating in water sports	1510	1.45E-05	0.004510774	0.004510774
Playing basketball	1510	1.07E-05	0.005108839	0.004527716
"Working out, unspecified"	1510	5.09E-05	0.014645415	0.015355291
"Skiing, ice skating, snowboarding"	1510	0	0	0
Doing yoga	1510	0	0	0
Playing billiards	1510	2.10E-04	0.255638956	0.256893864
Fishing	1510	3.95E-05	0.023635567	0.023635567
Dancing	1510	3.79E-04	0.508558707	0.514418929
Playing football	1510	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1510	2.47E-05	0.061639106	0.061639106
Softball	1510	0	0	0
Playing soccer	1510	0	0	0
Doing aerobics	1510	0	0	0
Hunting	1510	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1510	0	0	0
Bowling	1510	6.22E-05	0.050465356	0.050465356
Rollerblading	1510	3.88E-06	0.012169769	0.012169769
Golfing	1510	1.68E-05	0.007148072	0.007148072
Playing volleyball	1510	1.17E-05	0.024574726	0.024574726
Boating	1510	2.02E-05	0.029966049	0.029966049
Playing baseball	1510	0	0	0
Running	1515	7.55E-05	0.051506508	0.051506508
Playing racquet sports	1515	0	0	0
Weightlifting/strength training	1515	7.49E-06	0.00467993	0.011552267
Hiking	1515	0	0	0
Biking	1515	2.71E-06	0.003269747	0.003269747
Walking	1515	5.77E-05	0.012474411	0.012286307
Using cardiovascular equipment	1515	4.87E-05	0.036531606	0.026876767
Participating in water sports	1515	1.45E-05	0.004510774	0.004510774
Playing basketball	1515	7.03E-06	0.00336547	0.003946593
"Working out, unspecified"	1515	4.37E-05	0.012562186	0.014642191
"Skiing, ice skating, snowboarding"	1515	0	0	0
Doing yoga	1515	0	0	0
Playing billiards	1515	2.02E-04	0.246997848	0.247973681
Fishing	1515	3.95E-05	0.023635567	0.023635567
Dancing	1515	3.77E-04	0.505422338	0.505540347
Playing football	1515	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1515	2.47E-05	0.061639106	0.061639106
Softball	1515	0	0	0
Playing soccer	1515	0	0	0
Doing aerobics	1515	0	0	0
Hunting	1515	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1515	0	0	0
Bowling	1515	6.22E-05	0.050465356	0.048045034
Rollerblading	1515	3.88E-06	0.012169769	0.012169769
Golfing	1515	1.68E-05	0.007148072	0.007148072
Playing volleyball	1515	1.17E-05	0.024574726	0.024574726
Boating	1515	2.02E-05	0.029966049	0.029966049
Playing baseball	1515	0	0	0
Running	1520	7.55E-05	0.051506508	0.051506508
Playing racquet sports	1520	0	0	0
Weightlifting/strength training	1520	2.95E-05	0.01844288	0.01385523
Hiking	1520	0	0	0
Biking	1520	2.71E-06	0.003269747	0.003269747
Walking	1520	5.20E-05	0.011247544	0.0116565
Using cardiovascular equipment	1520	2.60E-05	0.019478953	0.025163171
Participating in water sports	1520	1.45E-05	0.004510774	0.004510774
Playing basketball	1520	7.03E-06	0.00336547	0.003047131
"Working out, unspecified"	1520	5.81E-05	0.016718972	0.014458354
"Skiing, ice skating, snowboarding"	1520	0	0	0
Doing yoga	1520	0	0	0
Playing billiards	1520	1.98E-04	0.24128424	0.243188776
Fishing	1520	3.95E-05	0.023635567	0.023635567
Dancing	1520	3.75E-04	0.502639995	0.502501955
Playing football	1520	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1520	2.47E-05	0.061639106	0.061639106
Softball	1520	0	0	0
Playing soccer	1520	0	0	0
Doing aerobics	1520	0	0	0
Hunting	1520	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1520	0	0	0
Bowling	1520	5.33E-05	0.043204391	0.045624712
Rollerblading	1520	3.88E-06	0.012169769	0.012169769
Golfing	1520	1.68E-05	0.007148072	0.007148072
Playing volleyball	1520	1.17E-05	0.024574726	0.024574726
Boating	1520	2.02E-05	0.029966049	0.029966049
Playing baseball	1520	0	0	0
Running	1525	7.55E-05	0.051506508	0.051506508
Playing racquet sports	1525	0	0	0
Weightlifting/strength training	1525	2.95E-05	0.01844288	0.01844288
Hiking	1525	0	0	0
Biking	1525	2.71E-06	0.003269747	0.003269747
Walking	1525	5.20E-05	0.011247544	0.011643299
Using cardiovascular equipment	1525	2.60E-05	0.019478953	0.019478953
Participating in water sports	1525	1.45E-05	0.004510774	0.00572512
Playing basketball	1525	5.04E-06	0.002410454	0.002728793
"Working out, unspecified"	1525	4.90E-05	0.014093905	0.014407502
"Skiing, ice skating, snowboarding"	1525	0	0	0
Doing yoga	1525	0	0	0
Playing billiards	1525	1.98E-04	0.24128424	0.246396829
Fishing	1525	3.95E-05	0.023635567	0.023635567
Dancing	1525	3.72E-04	0.499443532	0.513088656
Playing football	1525	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1525	2.47E-05	0.061639106	0.061639106
Softball	1525	0	0	0
Playing soccer	1525	0	0	0
Doing aerobics	1525	0	0	0
Hunting	1525	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1525	0	0	0
Bowling	1525	5.33E-05	0.043204391	0.043204391
Rollerblading	1525	3.88E-06	0.012169769	0.012169769
Golfing	1525	1.68E-05	0.007148072	0.007148072
Playing volleyball	1525	1.17E-05	0.024574726	0.024574726
Boating	1525	2.02E-05	0.029966049	0.029966049
Playing baseball	1525	0	0	0
Running	1530	7.55E-05	0.051506508	0.034337672
Playing racquet sports	1530	0	0	0
Weightlifting/strength training	1530	2.95E-05	0.01844288	0.017663371
Hiking	1530	0	0	0
Biking	1530	2.71E-06	0.003269747	0.003269747
Walking	1530	5.75E-05	0.012434807	0.013724615
Using cardiovascular equipment	1530	2.60E-05	0.019478953	0.01695659
Participating in water sports	1530	2.61E-05	0.008153813	0.006939466
Playing basketball	1530	5.04E-06	0.002410454	0.002410454
"Working out, unspecified"	1530	4.31E-05	0.012409631	0.018885138
"Skiing, ice skating, snowboarding"	1530	0	0	0
Doing yoga	1530	0	0	0
Playing billiards	1530	2.10E-04	0.256622007	0.237750815
Fishing	1530	3.95E-05	0.023635567	0.023011572
Dancing	1530	4.00E-04	0.53718244	0.515868181
Playing football	1530	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1530	2.47E-05	0.061639106	0.061639106
Softball	1530	0	0	0
Playing soccer	1530	0	0	0
Doing aerobics	1530	0	0	0
Hunting	1530	4.24E-05	0.038997475	0.038997475
Participating in martial arts	1530	0	0	0
Bowling	1530	5.33E-05	0.043204391	0.043204391
